mean time,maxlen,n_hidden,max correct,max semi correct,mean correct,mean semi correct,combination
34.46,700,500,0.5911602209944752,0.5966850828729282,0.51439550760619,0.5213745870063737,USD_JPY_diff USD_JPY

ドル円を固定１０種
25.12,700,200,0.580110497237569,0.5911602209944752,0.5051115297354252,0.5121604154146708,USD_JPY_diff USD_JPY EUR_JPY
33.94,1000,300,0.5695364238410596,0.5695364238410596,0.5105076075314614,0.5168216954501056,USD_JPY_diff USD_JPY EUR_USD
47.48,600,500,0.564625850340136,0.5649717514124294,0.5044607683273123,0.5099834161143857,USD_JPY_diff USD_JPY nikkei
69.88,800,400,0.5482233502538071,0.554140127388535,0.5069541867130343,0.5130241507202447,USD_JPY_diff USD_JPY TOPIX
27.32,600,300,0.5597826086956522,0.5597826086956522,0.49908772850410593,0.5050068681398312,USD_JPY_diff USD_JPY DOW30
23.36,100,100,0.5347222222222222,0.5427350427350427,0.48115355532420717,0.48850263443193265,USD_JPY_diff USD_JPY NASDAQ
23.04,600,300,0.5661375661375662,0.5714285714285714,0.5145445975585914,0.5218748879799606,USD_JPY_diff USD_JPY treasury_10
22.283333333333335,800,200,0.5789473684210527,0.5906432748538012,0.5130364694556523,0.5199708807522752,USD_JPY_diff USD_JPY SMA_5_25
20.86,800,400,0.5964912280701754,0.6023391812865497,0.5103914626673614,0.517061329259234,USD_JPY_diff USD_JPY BB_one_hot_neutral
21.44,700,400,0.574585635359116,0.585635359116022,0.517883223998375,0.5251126193703343,USD_JPY_diff USD_JPY RSI_one_hot

ボリンジャーバンドを固定９種
21.06,700,300,0.5469613259668509,0.5524861878453039,0.5018626649230743,0.5087442526190977,USD_JPY_diff USD_JPY EUR_JPY BB_one_hot_neutral
16.866666666666667,800,200,0.5847953216374269,0.5906432748538012,0.50630435686598,0.5125173325704808,USD_JPY_diff USD_JPY EUR_USD BB_one_hot_neutral
17.25,300,100,0.5578231292517006,0.5603864734299517,0.510862608228083,0.5161822901562764,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral
16.533333333333335,400,300,0.5423728813559322,0.5482233502538071,0.50689527895346,0.5134869602568276,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral
21.683333333333334,1000,300,0.5763888888888888,0.5833333333333334,0.5002285573039377,0.506606101713639,USD_JPY_diff USD_JPY DOW30 BB_one_hot_neutral
16.5,1000,300,0.5416666666666666,0.5486111111111112,0.48816190164189893,0.49567582953629824,USD_JPY_diff USD_JPY NASDAQ BB_one_hot_neutral
17.533333333333335,900,300,0.559748427672956,0.5660377358490566,0.5043596072793093,0.5114315249310535,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral
19.033333333333335,800,400,0.5827814569536424,0.5847953216374269,0.5139605178158729,0.5202777531131358,USD_JPY_diff USD_JPY SMA_5_25 BB_one_hot_neutral
20.04,1000,100,0.5894039735099338,0.5894039735099338,0.5080306220560492,0.5144784958937647,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot

他の機械学習手法から
K-近傍法
23.883333333333333,600,200,0.559748427672956,0.5680473372781065,0.506466680447978,0.5121333772967676,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral
非線形サポートベクターマシン
19.95,100,500,0.5706214689265536,0.5770925110132159,0.512544172564027,0.5183716513265402,USD_JPY_diff USD_JPY TOPIX SMA_5
ランダムフォレスト
19.2,900,100,0.5694444444444444,0.5763888888888888,0.5161115534578917,0.5237159402503138,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot
Ada boost
20.566666666666666,700,400,0.5609756097560976,0.5670731707317073,0.5053854863655495,0.5121162543461776,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5

追加
0.31666666666666665,600,300,0.5661375661375662,0.5714285714285714,0.5661375661375662,0.5714285714285714,USD_JPY_diff USD_JPY treasury_10
