mean time,maxlen,n_hidden,max correct,max semi correct,mean correct,mean semi correct,combination
31.72,1000,100,0.6026490066225165,0.6026490066225165,0.5221885553658313,0.5286813382457204,USD_JPY_diff USD_JPY

ドル円を固定１０種
34.7,1000,200,0.5562913907284768,0.5562913907284768,0.5072753505900388,0.5142721710772087,USD_JPY_diff USD_JPY EUR_JPY
41.28,1000,300,0.5827814569536424,0.5827814569536424,0.5086239380315217,0.5131495320819455,USD_JPY_diff USD_JPY EUR_USD
49.24,600,200,0.5706214689265536,0.576271186440678,0.5153292950848959,0.5207064457798708,USD_JPY_diff USD_JPY nikkei
62.22,600,300,0.5819209039548022,0.5875706214689266,0.5199942573695722,0.5262810876761673,USD_JPY_diff USD_JPY TOPIX
30.48,900,100,0.551948051948052,0.564935064935065,0.505005754883392,0.5116700486360561,USD_JPY_diff USD_JPY DOW30
30.6,600,400,0.5213675213675214,0.5271739130434783,0.47828770704462015,0.48348866444374183,USD_JPY_diff USD_JPY NASDAQ
27.78,900,300,0.5849056603773585,0.5974842767295597,0.5308727352806998,0.5372499730279912,USD_JPY_diff USD_JPY treasury_10
21.883333333333333,1000,200,0.6026490066225165,0.6026490066225165,0.5279999513775828,0.5333870721277757,USD_JPY_diff USD_JPY SMA_5_25
20.3,700,200,0.5960264900662252,0.5966850828729282,0.5247977268005032,0.5298510432849008,USD_JPY_diff USD_JPY BB_one_hot_neutral
23.32,700,400,0.6022099447513812,0.6132596685082873,0.5137668733868733,0.5193275381674264,USD_JPY_diff USD_JPY RSI_one_hot

RSIを固定９種
27.866666666666667,700,500,0.56353591160221,0.569060773480663,0.4958481139986513,0.5011713392479774,USD_JPY_diff USD_JPY EUR_JPY RSI_one_hot
23.4,700,300,0.569060773480663,0.574585635359116,0.5000159408454519,0.5042524589485979,USD_JPY_diff USD_JPY EUR_USD RSI_one_hot
24.516666666666666,600,500,0.5649717514124294,0.5706214689265536,0.4980333347467645,0.5034890689107487,USD_JPY_diff USD_JPY nikkei RSI_one_hot
24.466666666666665,700,100,0.5568862275449101,0.562874251497006,0.5028274024920412,0.508122687077468,USD_JPY_diff USD_JPY TOPIX RSI_one_hot
19.55,600,300,0.5706521739130435,0.5760869565217391,0.5162040322748571,0.5231048685499746,USD_JPY_diff USD_JPY DOW30 RSI_one_hot
19.016666666666666,1000,500,0.5069444444444444,0.5138888888888888,0.4532961544495659,0.45797944965434634,USD_JPY_diff USD_JPY NASDAQ RSI_one_hot
18.383333333333333,700,400,0.6033519553072626,0.6145251396648045,0.5193140529458937,0.5259089559562672,USD_JPY_diff USD_JPY treasury_10 RSI_one_hot
19.9,1000,200,0.5761589403973509,0.5761589403973509,0.5192650543410433,0.5237994254474816,USD_JPY_diff USD_JPY SMA_5_25 RSI_one_hot
17.016666666666666,800,100,0.6023391812865497,0.6081871345029239,0.5202881707084335,0.5242872683045318,USD_JPY_diff USD_JPY BB_one_hot_neutral RSI_one_hot

RSIと米国債１０年を固定８種
18.0,400,200,0.5741626794258373,0.5789473684210527,0.5017332670079719,0.5079705513412185,USD_JPY_diff USD_JPY EUR_JPY treasury_10 RSI_one_hot
18.183333333333334,600,300,0.5704697986577181,0.5714285714285714,0.5171545911234127,0.521998612280036,USD_JPY_diff USD_JPY EUR_USD treasury_10 RSI_one_hot
19.216666666666665,300,200,0.5535714285714286,0.5637254901960784,0.4943038139475793,0.5009803663761955,USD_JPY_diff USD_JPY nikkei treasury_10 RSI_one_hot
18.616666666666667,200,400,0.5794392523364486,0.5841121495327103,0.5040020660211977,0.5111415453230932,USD_JPY_diff USD_JPY TOPIX treasury_10 RSI_one_hot
18.516666666666666,700,500,0.5491329479768786,0.5606936416184971,0.4959442892064119,0.5029164829483187,USD_JPY_diff USD_JPY DOW30 treasury_10 RSI_one_hot
19.483333333333334,1000,300,0.5314685314685315,0.5384615384615384,0.4630299114337014,0.4707398939370773,USD_JPY_diff USD_JPY NASDAQ treasury_10 RSI_one_hot
26.533333333333335,800,200,0.592964824120603,0.6035502958579881,0.5240733610999365,0.5300644560551331,USD_JPY_diff USD_JPY treasury_10 SMA_5_25 RSI_one_hot
23.066666666666666,300,200,0.6118721461187214,0.6210045662100456,0.5263552485177528,0.5332102413928582,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral RSI_one_hot

RSIと米国債１０年とボリンジャーバンドを固定７種
18.266666666666666,1000,400,0.5637583892617449,0.5637583892617449,0.5033734381169461,0.5095110310844604,USD_JPY_diff USD_JPY EUR_JPY treasury_10 BB_one_hot_neutral RSI_one_hot
18.3,800,500,0.5857988165680473,0.591715976331361,0.5162566138718748,0.5211831528317592,USD_JPY_diff USD_JPY EUR_USD treasury_10 BB_one_hot_neutral RSI_one_hot
19.083333333333332,400,200,0.5618556701030928,0.5721649484536082,0.5046394842289983,0.5110912579122153,USD_JPY_diff USD_JPY nikkei treasury_10 BB_one_hot_neutral RSI_one_hot
19.183333333333334,100,400,0.6071428571428571,0.6071428571428571,0.49733223078311506,0.503782247734744,USD_JPY_diff USD_JPY TOPIX treasury_10 BB_one_hot_neutral RSI_one_hot
22.233333333333334,1000,500,0.5664335664335665,0.5734265734265734,0.5043338177074581,0.5095748735105029,USD_JPY_diff USD_JPY DOW30 treasury_10 BB_one_hot_neutral RSI_one_hot
24.766666666666666,900,300,0.5163398692810458,0.5228758169934641,0.46745113370308566,0.4746652077674549,USD_JPY_diff USD_JPY NASDAQ treasury_10 BB_one_hot_neutral RSI_one_hot
