Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bays,Linear Discriminant Analysis,Quadratic Discriminant Analysis,combination
0.47410358565737054,0.4900398406374502,0.5298804780876494,0.5418326693227091,0.4860557768924303,0.5219123505976095,0.5059760956175299,0.5258964143426295,0.5059760956175299,
0.5617529880478087,0.4820717131474104,0.4860557768924303,0.5099601593625498,0.545816733067729,0.4860557768924303,0.5179282868525896,0.5179282868525896,0.47410358565737054,USD_JPY
0.4820717131474104,0.46613545816733065,0.4900398406374502,0.5418326693227091,0.5298804780876494,0.5378486055776892,0.4701195219123506,0.5139442231075697,0.4820717131474104,EUR_JPY
0.5258964143426295,0.5179282868525896,0.5258964143426295,0.5418326693227091,0.545816733067729,0.5139442231075697,0.4900398406374502,0.5298804780876494,0.49800796812749004,EUR_USD
0.5527426160337553,0.4978902953586498,0.5443037974683544,0.5485232067510548,0.510548523206751,0.4978902953586498,0.4936708860759494,0.4978902953586498,0.5063291139240507,nikkei
0.5147679324894515,0.5063291139240507,0.5864978902953587,0.5316455696202531,0.5274261603375527,0.5232067510548524,0.4978902953586498,0.5274261603375527,0.5738396624472574,TOPIX
0.4897119341563786,0.48559670781893005,0.4773662551440329,0.5349794238683128,0.5308641975308642,0.49794238683127573,0.4897119341563786,0.49794238683127573,0.4897119341563786,DOW30
0.46502057613168724,0.5061728395061729,0.48559670781893005,0.5102880658436214,0.5102880658436214,0.4732510288065844,0.4897119341563786,0.5102880658436214,0.48559670781893005,NASDAQ
0.4838709677419355,0.5201612903225806,0.532258064516129,0.532258064516129,0.5,0.5362903225806451,0.5362903225806451,0.5282258064516129,0.4274193548387097,treasury10
0.4900398406374502,0.50199203187251,0.5338645418326693,0.4860557768924303,0.5657370517928287,0.5338645418326693,0.50199203187251,0.50199203187251,0.49800796812749004,SMA
0.4860557768924303,0.5099601593625498,0.5258964143426295,0.5418326693227091,0.5219123505976095,0.5219123505976095,0.5059760956175299,0.5258964143426295,0.4860557768924303,BB
0.5059760956175299,0.4701195219123506,0.4900398406374502,0.5099601593625498,0.47808764940239046,0.5219123505976095,0.4701195219123506,0.47808764940239046,0.4701195219123506,RSI
0.50199203187251,0.4940239043824701,0.4820717131474104,0.49800796812749004,0.5737051792828686,0.5378486055776892,0.47808764940239046,0.545816733067729,0.5099601593625498,USD_JPY EUR_JPY
0.4860557768924303,0.5139442231075697,0.5338645418326693,0.5378486055776892,0.5338645418326693,0.49800796812749004,0.50199203187251,0.49800796812749004,0.5059760956175299,USD_JPY EUR_USD
0.5358649789029536,0.48523206751054854,0.5949367088607594,0.5232067510548524,0.5189873417721519,0.5443037974683544,0.540084388185654,0.5063291139240507,0.5358649789029536,USD_JPY nikkei
0.5864978902953587,0.48523206751054854,0.6160337552742616,0.5232067510548524,0.540084388185654,0.5485232067510548,0.510548523206751,0.5316455696202531,0.5443037974683544,USD_JPY TOPIX
0.49382716049382713,0.49794238683127573,0.49382716049382713,0.5349794238683128,0.5802469135802469,0.5020576131687243,0.5102880658436214,0.49382716049382713,0.5308641975308642,USD_JPY DOW30
0.4732510288065844,0.5061728395061729,0.522633744855967,0.5473251028806584,0.45267489711934156,0.4732510288065844,0.5102880658436214,0.51440329218107,0.5020576131687243,USD_JPY NASDAQ
0.49193548387096775,0.5201612903225806,0.4959677419354839,0.5282258064516129,0.5120967741935484,0.5080645161290323,0.5645161290322581,0.5443548387096774,0.42338709677419356,USD_JPY treasury10
0.5378486055776892,0.4860557768924303,0.47410358565737054,0.5099601593625498,0.5378486055776892,0.5537848605577689,0.5179282868525896,0.5099601593625498,0.4701195219123506,USD_JPY SMA
0.5378486055776892,0.5099601593625498,0.50199203187251,0.5099601593625498,0.5258964143426295,0.5219123505976095,0.5258964143426295,0.5418326693227091,0.4860557768924303,USD_JPY BB
0.5378486055776892,0.4541832669322709,0.4940239043824701,0.5099601593625498,0.5139442231075697,0.5179282868525896,0.4701195219123506,0.49800796812749004,0.4701195219123506,USD_JPY RSI
0.4940239043824701,0.545816733067729,0.5139442231075697,0.5298804780876494,0.5298804780876494,0.5577689243027888,0.49800796812749004,0.5258964143426295,0.5179282868525896,EUR_JPY EUR_USD
0.4810126582278481,0.4936708860759494,0.5316455696202531,0.4641350210970464,0.5274261603375527,0.48945147679324896,0.5232067510548524,0.5063291139240507,0.5232067510548524,EUR_JPY nikkei
0.5358649789029536,0.4767932489451477,0.4936708860759494,0.4810126582278481,0.5021097046413502,0.540084388185654,0.48523206751054854,0.5316455696202531,0.5485232067510548,EUR_JPY TOPIX
0.4609053497942387,0.4609053497942387,0.4444444444444444,0.551440329218107,0.5185185185185185,0.5185185185185185,0.46502057613168724,0.5061728395061729,0.5473251028806584,EUR_JPY DOW30
0.4609053497942387,0.4691358024691358,0.4567901234567901,0.5720164609053497,0.49794238683127573,0.49794238683127573,0.49794238683127573,0.49382716049382713,0.49794238683127573,EUR_JPY NASDAQ
0.4879032258064516,0.5161290322580645,0.5282258064516129,0.5241935483870968,0.4838709677419355,0.5564516129032258,0.4596774193548387,0.5241935483870968,0.4475806451612903,EUR_JPY treasury10
0.5298804780876494,0.4820717131474104,0.5418326693227091,0.5258964143426295,0.5179282868525896,0.5378486055776892,0.4701195219123506,0.5059760956175299,0.47410358565737054,EUR_JPY SMA
0.5298804780876494,0.5099601593625498,0.5219123505976095,0.5418326693227091,0.5418326693227091,0.5378486055776892,0.49800796812749004,0.5059760956175299,0.4860557768924303,EUR_JPY BB
