time,day,model,start date,end date,maxlen,n_hidden,correct,semi_correct,combination
34,1,LSTM,2009-3-10,2018-10-31,1000,400,0.4722222222222222,0.4722222222222222,USD_JPY NASDAQ
50,1,LSTM,2009-3-10,2018-10-31,1000,500,0.4722222222222222,0.4791666666666667,USD_JPY NASDAQ
14,1,LSTM,2009-3-10,2018-10-31,100,100,0.5145228215767634,0.5228215767634855,USD_JPY EUR_JPY
13,1,LSTM,2009-3-10,2018-10-31,100,200,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,100,300,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,100,400,0.4896265560165975,0.49377593360995853,USD_JPY EUR_JPY
12,1,LSTM,2009-3-10,2018-10-31,100,500,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
19,1,LSTM,2009-3-10,2018-10-31,200,100,0.5194805194805194,0.5281385281385281,USD_JPY EUR_JPY
17,1,LSTM,2009-3-10,2018-10-31,200,200,0.49783549783549785,0.5021645021645021,USD_JPY EUR_JPY
19,1,LSTM,2009-3-10,2018-10-31,200,300,0.49783549783549785,0.5064935064935064,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,200,400,0.4805194805194805,0.48484848484848486,USD_JPY EUR_JPY
18,1,LSTM,2009-3-10,2018-10-31,200,500,0.49783549783549785,0.5021645021645021,USD_JPY EUR_JPY
25,1,LSTM,2009-3-10,2018-10-31,300,100,0.4751131221719457,0.4796380090497738,USD_JPY EUR_JPY
20,1,LSTM,2009-3-10,2018-10-31,300,200,0.4841628959276018,0.49321266968325794,USD_JPY EUR_JPY
20,1,LSTM,2009-3-10,2018-10-31,300,300,0.5158371040723982,0.5203619909502263,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,300,400,0.49321266968325794,0.502262443438914,USD_JPY EUR_JPY
18,1,LSTM,2009-3-10,2018-10-31,300,500,0.502262443438914,0.5113122171945701,USD_JPY EUR_JPY
31,1,LSTM,2009-3-10,2018-10-31,400,100,0.4928909952606635,0.4976303317535545,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,400,200,0.5023696682464455,0.5118483412322274,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,400,300,0.5023696682464455,0.5118483412322274,USD_JPY EUR_JPY
29,1,LSTM,2009-3-10,2018-10-31,400,400,0.46445497630331756,0.47393364928909953,USD_JPY EUR_JPY
30,1,LSTM,2009-3-10,2018-10-31,400,500,0.5213270142180095,0.5308056872037915,USD_JPY EUR_JPY
32,1,LSTM,2009-3-10,2018-10-31,500,100,0.5124378109452736,0.5223880597014925,USD_JPY EUR_JPY
27,1,LSTM,2009-3-10,2018-10-31,500,200,0.4626865671641791,0.4626865671641791,USD_JPY EUR_JPY
28,1,LSTM,2009-3-10,2018-10-31,500,300,0.48756218905472637,0.4925373134328358,USD_JPY EUR_JPY
39,1,LSTM,2009-3-10,2018-10-31,500,400,0.47761194029850745,0.48258706467661694,USD_JPY EUR_JPY
25,1,LSTM,2009-3-10,2018-10-31,500,500,0.4925373134328358,0.4925373134328358,USD_JPY EUR_JPY
43,1,LSTM,2009-3-10,2018-10-31,600,100,0.5392670157068062,0.5392670157068062,USD_JPY EUR_JPY
38,1,LSTM,2009-3-10,2018-10-31,600,200,0.4816753926701571,0.4816753926701571,USD_JPY EUR_JPY
32,1,LSTM,2009-3-10,2018-10-31,600,300,0.5078534031413613,0.518324607329843,USD_JPY EUR_JPY
